names,locations,prices,ratings,images
ARTOTEL Sanur Bali,"Denpasar Selatan, Denpasar",IDR 489.510,4.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/371e35a3-9b9c-41e5-bed6-b25050f05ae3-1604154953748-89efeda87afb02ebcab8bbfae7be4fa9.jpg
The Vasini Hotel,"Denpasar Timur, Denpasar",IDR 194.020,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/0e59e0cb-1b21-4966-a57e-204982a78111-1615536932372-6ad9a19451c5d2141ac32e03e2581882.jpg
POP! Hotel Teuku Umar,"Denpasar Barat, Denpasar",IDR 167.000,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/38f48854-a853-4120-beea-c113473fb49f-1603882217307-482239eb1500b4146f4431f7a29cbc28.jpg
Inna Bali Beach Resort,"Sanur, Denpasar",IDR 270.675,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/10/5a1093a4-90f1-4291-affb-d0457e644e31-1633836322483-44adb2d63c6b44bbf7795bbefbf3b34f.jpg
Warna Kedaton Hotel and Meetings,"Denpasar Timur, Denpasar",,1.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/17893cfb-1a75-4835-8cfb-5267b0e3edfe-1603929478970-2f5e4eef4397fb45a79e79090243d171.jpg
Hyatt Regency Bali,"Denpasar Selatan, Denpasar",IDR 1.393.887,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/6b0a55d0-7f94-4654-b80c-0214f4ec42b0-1604174857632-14abefdf82637fcc4c5614acd881cee7.jpg
Bali Corail Villa,"Denpasar Barat, Denpasar",IDR 462.410,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/16/f6789ef5-0e2f-4252-9e15-f38e72ad7528-1634334333921-0fc1ae4205f5ddbc41c08751becfb186.jpg
The Cakra Hotel,"Denpasar Timur, Denpasar",IDR 168.290,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/12dfee87-c416-4f0a-9f20-b432c051638d-1615533330350-f734d69a77a6cd2d2c65e888e32d8f75.jpg
The Rani Garden Bed and Breakfast,"Denpasar Selatan, Denpasar",IDR 355.039,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/264fcb95-1aef-435b-a1f9-bee39edeffd2-1603909386493-18bafaaae54084f1ad1000b14380c476.jpg
Maya Sanur Resort & Spa,"Denpasar Selatan, Denpasar",IDR 1.943.498,4.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/8903c053-7e36-4a37-8c81-069ccc3c4748-1604155432351-43347f2c2b1050b87a9deef894340b48.jpg
Akarsa Kokoro,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/30/c91184ff-7d4b-4c3f-a405-fd7dfcf22c27-1604010549853-38591c49dcf6460533cc59f5a433f150.jpg
Golden Tulip Essential Denpasar,"Denpasar Barat, Denpasar",IDR 188.496,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/68b1f4c3-dc70-492f-b994-c407306e1a09-1603889349281-8ed9e26c83a3bbea27379c23d3f7cb79.jpg
Puri Maharani Boutique Hotel,"Kesiman Kertalangu, Denpasar",IDR 401.531,3.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/afe900d6-5192-4994-b3f3-e9036a4bd3cc-1602723123553-44fb874a82e6eab6a97854e05c818028.jpg
Iconic Bali Living,"Denpasar Selatan, Denpasar",,4.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/16/c5fd726a-bf37-4dde-bc99-febb6041496c-1600232433892-741cd4bc92b8c58429ca2e76a93ba7f6.jpg
Alamanda Town House,"Denpasar Selatan, Denpasar",IDR 419.836,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/bbeab9f8-d67d-4e47-9f8d-e2cf424b747d-1603900761693-7a4fee07dce45b9f79bf849ca5d0ed70.jpg
Mahana Boutique Apartment,"Denpasar Timur, Denpasar",IDR 240.975,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/d13d955e-1035-4b7c-8e9e-6c3ac30f3621-1604185811909-65488bb67301a46c1025b6eb24a2c348.jpg
Maha Laksmi Boutique Hotel,"Denpasar Selatan, Denpasar",IDR 265.501,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/274dbb7d-5fe3-4dc4-999e-e301ad9f3e8a-1603899982167-41f85d21781ffadd5f8871b041fe26de.jpg
The Oasis Lagoon Sanur,"Denpasar Selatan, Denpasar",IDR 200.920,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/83606e19-5d2b-4f09-9633-2794ef98530d-1603877502423-502ff87916c3789f0b455cbfdcab09ad.jpg
